Move,Type,Category,Power,Accuracy,PP
Absorb,Grass,special,20,100,25
Accelerock,Rock,physical,40,100,20
Acid,Poison,special,40,100,30
Acid Armor,Poison,status,0,,20
Acid Spray,Poison,special,40,100,20
Acrobatics,Flying,physical,55,100,15
Acupressure,Normal,status,0,,30
Aerial Ace,Flying,physical,60,,20
Aeroblast,Flying,special,100,95,5
After You,Normal,status,0,,15
Agility,Psychic,status,0,,30
Air Cutter,Flying,special,60,95,25
Air Slash,Flying,special,75,95,15
Ally Switch,Psychic,status,0,,15
Amnesia,Psychic,status,0,,20
Anchor Shot,Steel,physical,80,100,20
Ancient Power,Rock,special,60,100,5
Apple Acid,Grass,special,80,100,10
Aqua Cutter,Water,physical,70,100,20
Aqua Jet,Water,physical,40,100,20
Aqua Ring,Water,status,0,,20
Aqua Step,Water,physical,80,100,10
Aqua Tail,Water,physical,90,90,10
Arm Thrust,Fighting,physical,15,100,20
Armor Cannon,Fire,special,120,100,5
Aromatherapy,Grass,status,0,,5
Aromatic Mist,Fairy,status,0,,20
Assist,Normal,status,0,,20
Assurance,Dark,physical,60,100,10
Astonish,Ghost,physical,30,100,15
Attack Order,Bug,physical,90,100,15
Attract,Normal,status,0,100,15
Aura Sphere,Fighting,special,80,,20
Aura Wheel,Electric,physical,110,100,10
Aurora Beam,Ice,special,65,100,20
Aurora Veil,Ice,status,0,,20
Autotomize,Steel,status,0,,15
Avalanche,Ice,physical,60,100,10
Axe Kick,Fighting,physical,120,90,10
Baby-Doll Eyes,Fairy,status,0,100,30
Baneful Bunker,Poison,status,0,,10
Barb Barrage,Poison,physical,60,100,10
Baton Pass,Normal,status,0,,40
Beak Blast,Flying,physical,100,100,15
Beat Up,Dark,physical,0,100,10
Belch,Poison,special,120,90,10
Belly Drum,Normal,status,0,,10
Bide,Normal,physical,0,,10
Bind,Normal,physical,15,85,20
Bite,Dark,physical,60,100,25
Bitter Blade,Fire,physical,90,100,10
Blaze Kick,Fire,physical,85,90,10
Bleakwind Storm,Flying,special,100,80,10
Blizzard,Ice,special,110,70,5
Block,Normal,status,0,,5
Blue Flare,Fire,special,130,85,5
Body Press,Fighting,physical,80,100,10
Body Slam,Normal,physical,85,100,15
Bolt Beak,Electric,physical,85,100,10
Bolt Strike,Electric,physical,130,85,5
Bone Rush,Ground,physical,25,90,10
Bonemerang,Ground,physical,50,90,10
Boomburst,Normal,special,140,100,10
Bounce,Flying,physical,85,85,5
Branch Poke,Grass,physical,40,100,40
Brave Bird,Flying,physical,120,100,15
Breaking Swipe,Dragon,physical,60,100,15
Brick Break,Fighting,physical,75,100,15
Brine,Water,special,65,100,10
Brutal Swing,Dark,physical,60,100,20
Bubble Beam,Water,special,65,100,20
Bug Bite,Bug,physical,60,100,20
