Dex,Name,Type1,Type2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Level-Up Moves
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,Tackle (Lv 1); Growl (Lv 1); Vine Whip (Lv 3); Growth (Lv 6); Leech Seed (Lv 9); Razor Leaf (Lv 12); Poison Powder (Lv 15); Sleep Powder (Lv 15); Seed Bomb (Lv 18); Take Down (Lv 21); Sweet Scent (Lv 24); Synthesis (Lv 27); Worry Seed (Lv 30); Power Whip (Lv 33); Solar Beam (Lv 36)
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,Vine Whip (Lv 1); Tackle (Lv 1); Growl (Lv 1); Growth (Lv 1); Leech Seed (Lv 9); Razor Leaf (Lv 12); Poison Powder (Lv 15); Sleep Powder (Lv 15); Seed Bomb (Lv 20); Take Down (Lv 25); Sweet Scent (Lv 30); Synthesis (Lv 35); Worry Seed (Lv 40); Power Whip (Lv 45); Solar Beam (Lv 50)
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,Petal Blizzard (Lv 0); Growth (Lv 1); Petal Dance (Lv 1); Vine Whip (Lv 1); Tackle (Lv 1); Growl (Lv 1); Leech Seed (Lv 9); Razor Leaf (Lv 12); Sleep Powder (Lv 15); Poison Powder (Lv 15); Seed Bomb (Lv 20); Take Down (Lv 25); Sweet Scent (Lv 30); Synthesis (Lv 37); Worry Seed (Lv 44); Power Whip (Lv 51); Solar Beam (Lv 58)
4,Charmander,Fire,,39,52,43,60,50,65,309,Scratch (Lv 1); Growl (Lv 1); Ember (Lv 4); Smokescreen (Lv 8); Dragon Breath (Lv 12); Fire Fang (Lv 17); Slash (Lv 20); Flamethrower (Lv 24); Scary Face (Lv 28); Fire Spin (Lv 32); Inferno (Lv 36); Flare Blitz (Lv 40)
5,Charmeleon,Fire,,58,64,58,80,65,80,405,Scratch (Lv 1); Growl (Lv 1); Ember (Lv 1); Smokescreen (Lv 1); Dragon Breath (Lv 12); Fire Fang (Lv 19); Slash (Lv 24); Flamethrower (Lv 30); Scary Face (Lv 37); Inferno (Lv 48); Flare Blitz (Lv 54)
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,Air Slash (Lv 0); Scratch (Lv 1); Growl (Lv 1); Ember (Lv 1); Smokescreen (Lv 1); Heat Wave (Lv 1); Dragon Claw (Lv 1); Dragon Breath (Lv 12); Fire Fang (Lv 19); Slash (Lv 24); Flamethrower (Lv 30); Scary Face (Lv 39); Fire Spin (Lv 46); Inferno (Lv 54); Flare Blitz (Lv 62)
7,Squirtle,Water,,44,48,65,50,64,43,314,Tackle (Lv 1); Tail Whip (Lv 1); Water Gun (Lv 3); Withdraw (Lv 6); Rapid Spin (Lv 9); Bite (Lv 12); Water Pulse (Lv 15); Protect (Lv 18); Rain Dance (Lv 21); Aqua Tail (Lv 24); Shell Smash (Lv 27); Iron Defense (Lv 30); Hydro Pump (Lv 33); Wave Crash (Lv 36)
8,Wartortle,Water,,59,63,80,65,80,58,405,Tackle (Lv 1); Tail Whip (Lv 1); Water Gun (Lv 1); Withdraw (Lv 1); Rapid Spin (Lv 9); Bite (Lv 12); Water Pulse (Lv 15); Protect (Lv 20); Rain Dance (Lv 25); Aqua Tail (Lv 30); Shell Smash (Lv 35); Iron Defense (Lv 40); Hydro Pump (Lv 45); Wave Crash (Lv 50)
9,Blastoise,Water,,79,83,100,85,105,78,530,Flash Cannon (Lv 0); Tackle (Lv 1); Tail Whip (Lv 1); Water Gun (Lv 1); Withdraw (Lv 1); Rapid Spin (Lv 9); Bite (Lv 12); Water Pulse (Lv 15); Protect (Lv 20); Rain Dance (Lv 25); Aqua Tail (Lv 30); Shell Smash (Lv 35); Iron Defense (Lv 42); Hydro Pump (Lv 49); Wave Crash (Lv 56)
10,Caterpie,Bug,,45,30,35,20,20,45,195,Tackle (Lv 1); String Shot (Lv 1); Bug Bite (Lv 9)
