Dex,WeightHg
1,69
2,130
3,1000
4,85
5,190
6,905
7,90
8,225
9,855
10,29
11,99
12,320
13,32
14,100
15,295
16,18
17,300
18,395
19,35
20,185
21,20
22,380
23,69
24,650
25,60
26,300
27,120
28,295
29,70
30,200
31,600
32,90
33,195
34,620
35,75
36,400
37,99
38,199
39,55
40,120
41,75
42,550
43,54
44,86
45,186
46,54
47,295
48,300
49,125
50,8
51,333
52,42
53,320
54,196
55,766
56,280
57,320
58,190
59,1550
60,124
61,200
62,540
63,195
64,565
65,480
66,195
67,705
68,1300
69,40
70,64
71,155
72,455
73,550
74,200
75,1050
76,3000
77,300
78,950
79,360
80,785
81,60
82,600
83,150
84,392
85,852
86,900
87,1200
88,300
89,300
90,40
91,1325
92,1
93,1
94,405
95,2100
96,324
97,756
98,65
99,600
100,104
101,666
102,25
103,1200
104,65
105,450
106,498
107,502
108,655
109,10
110,95
111,1150
112,1200
113,346
114,350
115,800
116,80
117,250
118,150
119,390
120,345
121,800
122,545
123,560
124,406
125,300
126,445
127,550
128,884
129,100
130,2350
131,2200
132,40
133,65
134,290
135,245
136,250
137,365
138,75
139,350
140,115
141,405
142,590
143,4600
144,554
145,526
146,600
147,33
148,165
149,2100
150,1220
151,40
152,64
153,158
154,1005
155,79
156,190
157,795
158,95
159,250
160,888
161,60
162,325
163,212
164,408
165,108
166,356
167,85
168,335
169,750
170,120
171,225
172,20
173,30
174,10
175,15
176,32
177,20
178,150
179,78
180,133
181,615
182,58
183,85
184,285
185,380
186,339
187,5
188,10
189,30
190,115
191,18
192,85
193,380
194,85
195,750
196,265
197,270
198,21
199,795
200,10
201,50
202,285
203,415
204,72
205,1258
206,140
207,648
208,4000
209,78
210,487
211,39
212,1180
213,205
214,540
215,280
216,88
217,1258
218,350
219,550
220,65
221,558
222,50
223,120
224,285
225,160
226,2200
227,505
228,108
229,350
230,1520
231,335
232,1200
233,325
234,712
235,580
236,210
237,480
238,60
239,235
240,214
241,755
242,468
243,1780
244,1980
245,1870
246,720
247,1520
248,2020
249,2160
250,1990
251,50
252,50
253,216
254,522
255,25
256,195
257,520
258,76
259,280
260,819
261,136
262,370
263,175
264,325
265,36
266,100
267,284
268,115
269,316
270,26
271,325
272,550
273,40
274,280
275,596
276,23
277,198
278,95
279,280
280,66
281,202
282,484
283,17
284,36
285,45
286,392
287,240
288,465
289,1305
290,55
291,120
292,12
293,163
294,405
295,840
296,864
297,2538
298,20
299,970
300,110
301,326
302,110
303,115
304,600
305,1200
306,3600
307,112
308,315
309,152
310,402
311,42
312,42
313,177
314,177
315,20
316,103
317,800
318,208
319,888
320,1300
321,3980
322,240
323,2200
324,804
325,306
326,715
327,50
328,150
329,153
330,820
331,513
332,774
333,12
334,206
335,403
336,525
337,1680
338,1540
339,19
340,236
341,115
342,328
343,215
344,1080
345,238
346,604
347,125
348,682
349,74
350,1620
351,8
352,220
353,23
354,125
355,150
356,306
357,1000
358,10
359,470
360,140
361,168
362,2565
363,395
364,876
365,1506
366,525
367,270
368,226
369,234
370,87
371,421
372,1105
373,1026
374,952
375,2025
376,5500
377,2300
378,1750
379,2050
380,400
381,600
382,3520
383,9500
384,2065
385,11
386,608
387,102
388,970
389,3100
390,62
391,220
392,550
393,52
394,230
395,845
396,20
397,155
398,249
399,200
400,315
401,22
402,255
403,95
404,305
405,420
406,12
407,145
408,315
409,1025
410,570
411,1495
412,34
413,65
414,233
415,55
416,385
417,39
418,295
419,335
420,33
421,93
422,63
423,299
424,203
425,12
426,150
427,55
428,333
429,44
430,273
431,39
432,438
433,6
434,192
435,380
436,605
437,1870
438,150
439,130
440,244
441,19
442,1080
443,205
444,560
445,950
446,1050
447,202
448,540
449,495
450,3000
451,120
452,615
453,230
454,444
455,270
456,70
457,240
458,650
459,505
460,1355
461,340
462,1800
463,1400
464,2828
465,1286
466,1386
467,680
468,380
469,515
470,255
471,259
472,425
473,2910
474,340
475,520
476,3400
477,1066
478,266
479,3
480,3
481,3
482,3
483,6830
484,3360
485,4300
486,4200
487,7500
488,856
489,31
490,14
491,505
492,21
493,3200
494,40
495,81
496,160
497,630
498,99
499,555
500,1500
501,59
502,245
503,946
504,116
505,270
506,41
507,147
508,610
509,101
510,375
511,105
512,305
513,110
514,280
515,135
516,290
517,233
518,605
519,21
520,150
521,290
522,298
523,795
524,180
525,1020
526,2600
527,21
528,105
529,85
530,404
531,310
532,125
533,400
534,870
535,45
536,170
537,620
538,555
539,510
540,25
541,73
542,205
543,53
544,585
545,2005
546,6
547,66
548,66
549,163
550,180
551,152
552,334
553,963
554,375
555,929
556,280
557,145
558,2000
559,118
560,300
561,140
562,15
563,765
564,165
565,810
566,95
567,320
568,310
569,1073
570,125
571,811
572,58
573,75
574,58
575,180
576,440
577,10
578,80
579,201
580,55
581,242
582,57
583,410
584,575
585,195
586,925
587,50
588,59
589,330
590,10
591,105
592,330
593,1350
594,316
595,6
596,143
597,188
598,1100
599,210
600,510
601,810
602,3
603,220
604,805
605,90
606,345
607,31
608,130
609,343
610,180
611,360
612,1055
613,85
614,2600
615,1480
616,77
617,253
618,110
619,200
620,355
621,1390
622,920
623,3300
624,102
625,700
626,946
627,105
628,410
629,90
630,395
631,580
632,330
633,173
634,500
635,1600
636,288
637,460
638,2500
639,2600
640,2000
641,630
642,610
643,3300
644,3450
645,680
646,3250
647,485
648,65
649,825
650,90
651,290
652,900
653,94
654,145
655,390
656,70
657,109
658,400
659,50
660,424
661,17
662,160
663,245
664,25
665,84
666,170
667,135
668,815
669,1
670,9
671,100
672,310
673,910
674,80
675,1360
676,280
677,35
678,85
679,20
680,45
681,530
682,5
683,155
684,35
685,50
686,35
687,470
688,310
689,960
690,73
691,815
692,83
693,353
694,60
695,210
696,260
697,2700
698,252
699,2250
700,235
701,215
702,22
703,57
704,28
705,175
706,1505
707,30
708,70
709,710
710,50
711,125
712,995
713,5050
714,80
715,850
716,2150
717,2030
718,3050
719,88
720,90
721,1950
722,15
723,160
724,366
725,43
726,250
727,830
728,75
729,175
730,440
731,12
732,148
733,260
734,60
735,142
736,44
737,105
738,450
739,70
740,1800
741,34
742,2
743,5
744,92
745,250
746,3
747,80
748,145
749,1100
750,9200
751,40
752,820
753,15
754,185
755,15
756,115
757,48
758,222
759,68
760,1350
761,32
762,82
763,214
764,3
765,760
766,828
767,120
768,1080
769,700
770,2500
771,12
772,1205
773,1005
774,400
775,199
776,2120
777,33
778,7
779,190
780,1850
781,2100
782,297
783,470
784,782
785,205
786,186
787,455
788,212
789,1
790,9999
791,2300
792,1200
793,555
794,3336
795,250
796,1000
797,9999
798,1
799,8880
800,2300
801,805
802,222
803,18
804,1500
805,8200
806,130
807,445
808,80
809,8000
810,50
811,140
812,900
813,45
814,90
815,330
816,40
817,115
818,452
819,25
820,60
821,18
822,160
823,750
824,80
825,195
826,408
827,89
828,199
829,22
830,25
831,60
832,430
833,85
834,1155
835,135
836,340
837,120
838,780
839,3105
840,5
841,10
842,130
843,76
844,655
845,180
846,10
847,300
848,110
849,400
850,10
851,1200
852,40
853,390
854,2
855,4
856,34
857,48
858,51
859,55
860,125
861,610
862,460
863,280
864,4
865,1170
866,582
867,666
868,3
869,5
870,620
871,10
872,38
873,420
874,5200
875,890
876,280
877,30
878,1000
879,6500
880,1900
881,1500
882,2150
883,1750
884,400
885,20
886,110
887,500
888,1100
889,2100
890,9500
891,120
892,1050
893,700
894,1450
895,2000
896,8000
897,445
898,77
899,951
900,890
901,2900
902,1100
903,430
904,605
905,480
906,41
907,122
908,312
909,98
910,307
911,3265
912,61
913,215
914,619
